IGLM.Store;Yes;No;Italy;Ecommerce;218.2;47.1;11775816;3700846;12;2;2013
TrenDevice;No;No;Italy;Ecommerce;210.8;45.9;15817306;5088720;31;13;1999
Beststuff.Hu;No;No;Hungary;Ecommerce;210.0;45.8;1790855;664442;12;2;2010
MPB Group;Yes;Yes;UK;Ecommerce;206.5;45.3;116354575;35543320;271;101;2008
KaMel;No;No;Germany;Ecommerce;203.2;44.7;2426705;800352;9;6;2010
Cura Farma;Yes;No;Italy;Ecommerce;201.9;44.5;3691822;1222866;13;2;2014
Gartentraum.de;No;No;Germany;Ecommerce;201.8;44.5;2095544;694344;11;3;2015
Spiegel21.de;Yes;Yes;Germany;Ecommerce;200.6;44.3;14444400;4805000;121;44;2013
Systemtreff;No;No;Germany;Ecommerce;199.1;44.1;20434728;6831009;42;28;2008
Sos Accessoire;Yes;No;France;Ecommerce;194.9;43.4;17570240;5958821;70;20;2007
Denqbar;No;No;Germany;Ecommerce;194.2;43.3;16810000;5713000;24;12;2004
Greendonkey;No;No;Germany;Ecommerce;193.0;43.1;11417000;3896000;30;15;2011
Giglio.com;Yes;No;Italy;Ecommerce;191.1;42.8;37923155;13029597;92;35;2007
Yocabè;Yes;Yes;Italy;Ecommerce;189.7;42.6;5512232;1902587;15;5;2016
StampaSi;Yes;No;Italy;Ecommerce;182.8;41.4;4457564;1576047;11;3;2016
pi3g;No;No;Germany;Ecommerce;182.3;41.3;2454235;869442;6;1;2007
Resorti;No;No;Germany;Ecommerce;177.7;40.6;14792404;5326012;25;12;2009
Fahrradwelt international;No;No;Germany;Ecommerce;176.6;40.4;4999311;1807295;12;7;1996
Stufe a pellet italia;Yes;Yes;Italy;Ecommerce;175.0;40.1;5760863;2095219;17;7;2013
Poppri Fashion Auctions;Yes;Yes;Lithuania;Ecommerce;168.6;39.0;13829569;5149542;111;57;2012
JUNO Fashion;No;No;Germany;Ecommerce;168.2;38.9;2985990;1113163;8;4;2017
eu-bay Commerce;Yes;No;Germany;Ecommerce;164.0;38.2;8810500;3337766;35;15;2003
Meblobranie.Pl;Yes;Yes;Poland;Ecommerce;156.1;36.8;23288027;9724159;24;15;2011
Lehmanns Bio Service;No;No;Germany;Ecommerce;153.4;36.3;8620000;3402000;70;33;1995
Moonpig Group;Yes;No;UK;Ecommerce;153.3;36.3;362057662;133824579;481;345;2000
Boolean;No;No;Italy;Education & Social Services;3526.6;231.0;3689048;101723;17;1;2018
Bibliu;No;No;UK;Education & Social Services;2891.0;210.4;8285289;259335;69;44;2014
ergoflix;No;No;Germany;Education & Social Services;2542.2;197.8;7336354;277661;63;8;2017
Skriware;No;No;Poland;Education & Social Services;1791.8;166.5;2635715;148963;33;34;2015
Educ-Up;No;No;France;Education & Social Services;1436.6;148.6;1763744;114780;70;5;2016
Living Quarter;Yes;No;Germany;Education & Social Services;907.4;116.0;10487935;1041072;126;9;2015
AllgäuQuelle Naturprodukte;No;No;Germany;Education & Social Services;903.9;115.7;3303614;329088;25;2;2017
